scac,pol,pod,tsp,service_codes
MSCU,USPEF,BRRIO,,
COSU,MYPKG,AUMEL,,ASAL
COSU,MYPKG,AUMEL,,AAA2
COSU,SIKOP,HKHKG,MYPKG,;MEX5
COSU,SIKOP,HKHKG,GRPIR,AGT;AEM1
COSU,SIKOP,HKHKG,GRPIR,AGT;
COSU,CNFOC,BEANR,CNXMN;BEZEE,CF31;AEU1
COSU,CNFOC,BEANR,CNXMN;FRFOS,CF31;
COSU,CNFOC,BEANR,CNXMN;GRPIR,CF31;;AEU3
COSU,CNFOC,BEANR,CNXMN;BEZEE,CF31;
COSU,CNFOC,BEANR,SGSIN;FRFOS,ZAX2;AEM1
COSU,CNFOC,BEANR,CNNGB;BEZEE,CF21;AEU1
COSU,CNFOC,BEANR,CNNGB,CF21;AEU3
COSU,CNFOC,BEANR,CNNGB,CF21;
COSU,CNFOC,BEANR,CNNGB;FRFOS,CF21;AEM1
COSU,CNFOC,BEANR,CNNGB,CF21;AEU6
COSU,CNFOC,BEANR,HKHKG;FRFOS,CV3;AEM1
COSU,IDJKT,ECGYE,CNSHA,CKI;WSA2
COSU,IDJKT,ECGYE,CNSHA,CTI1;WSA2
COSU,IDJKT,ECGYE,CNSHA,CIT;WSA2
MAEU,DEHAM,SAJED,,
MAEU,ROCND,JPTMK,EGPSE;SGSIN;CNSHA;JPYOK,;AE11;;;
MSCU,TRGEM,ITTRS,,
MSCU,HKHKG,NLRTM,CNYTN,PEARL SERVICE;LION SERVICE
MSCU,TRALI,ESBCN,ESVLC,;
MSCU,USPHL,CLARI,PACTB;PECLL,;;LLAMA SERVICE
COSU,CNSHK,AUMEL,,A3S
COSU,SIKOP,KRPUS,,
COSU,CNHUA,VNCLI,CNNSA;VNSGN,;CVX1
COSU,IDSRG,AUMEL,SGSIN,SRX1;AAA1
COSU,IDSRG,AUMEL,SGSIN,SRX1;ASAL
COSU,IDSRG,AUMEL,SGSIN,SRX1;AAA2
COSU,IDSRG,AUMEL,SGSIN,SRX2;AAA1
COSU,IDSRG,AUMEL,SGSIN,SRX2;AAA2
COSU,IDSRG,AUMEL,SGSIN,ITS;AAA1
COSU,IDSRG,AUMEL,SGSIN,ITS;ASAL
COSU,IDSRG,AUMEL,SGSIN,SRX2;ASAL
COSU,IDSRG,AUMEL,SGSIN,ITS;AAA2
MAEU,PECLL,GBSOU,PABLB;PAMIT,;;
MAEU,SIKOP,SAKAC,,
MSCU,CNTXG,CAVAN,KRPUS,;CHINOOK
MSCU,CNTXG,CAVAN,KRPUS,;
MSCU,INCCU,NLRTM,LKCMB,;
MSCU,TRGEM,ZADUR,PTSIE,;
MSCU,USSAV,ECGYE,BSFPO,;
MSCU,USSAV,ECGYE,DOCAU;PAROD,;;
COSU,CNTAO,ALDRZ,GRPIR,AEU3;AIG
COSU,CNTAO,ALDRZ,GRPIR,AEM1;AIG
COSU,AUMEL,VNSGN,HKHKG,A3S;CVX1
COSU,AUMEL,VNSGN,SGSIN,ASAL;IHX
COSU,AUMEL,VNSGN,SGSIN,AAA1;IHX
COSU,AUMEL,VNSGN,SGSIN;VN7BR,AAA1;KTX6
COSU,AUMEL,VNSGN,SGSIN;VN7BR,ASAL;KTX6
COSU,AUMEL,VNSGN,CNSHA,A3C;CV2
COSU,AUMEL,VNSGN,SGSIN,AAA2;IHX
COSU,AUMEL,VNSGN,SGSIN;VN7BR,AAA2;KTX6
COSU,CNJIU,ESVLC,CNSHA,CB31;
COSU,CNJIU,ESVLC,CNSHA,CB31;AEM1
COSU,CNJIU,ESVLC,CNSHA;GRPIR,CB31;;AEM1
COSU,IDSUB,GRSKG,SGSIN;GRPIR,SSX1;AEM1;AGT
COSU,IDSUB,GRSKG,SGSIN;GRPIR,SSX1;AEU3;AGT
MAEU,BEANR,MXVER,,
MAEU,SIKOP,USEWR,EGPSE;ESALG,;;
MSCU,PTSIE,USCHS,,
MSCU,INNSA,DKFRC,BEANR,;
MSCU,TRIZM,ESBCN,,
MSCU,USSAV,MYPEN,MYTPP,;
COSU,CNSHA,ALDRZ,GRPIR,AEU3;AIG
COSU,CNSHA,ALDRZ,GRPIR,;AIG
COSU,CNSHA,ALDRZ,GRPIR,AEM1;AIG
COSU,AUSYD,CNNGB,,A3C
COSU,ILASH,GRSKG,GRPIR,LGX1;AGT
MAEU,DEHAM,BRSSA,MAPTM,;
MAEU,THLCH,ARBUE,SGSIN,;
MSCU,CNNGB,SEGOT,,
MSCU,ITGOA,ARBUE,BRSSZ,;
MSCU,USCHS,BRSSZ,,
MSCU,VNDAD,NOOSL,CNYTN;BEANR,;LION SERVICE;
MSCU,VNDAD,NOOSL,CNYTN;BEANR,;;
COSU,CNSHA,USOAK,,AAC2
COSU,ILASH,MACAS,GRPIR,LGX1;BSM
MAEU,GBFXT,INMUN,OMSLL,;
MAEU,GBFXT,INMUN,ESALG,;
MAEU,TRAMR,UYMVD,MAPTM,;;
MSCU,DEBRV,USSAV,,
MSCU,JPNGO,ITTRS,SGSIN,;
MSCU,VNHPH,ITNAP,SGSIN;ITGIT,;;
COSU,ESALG,USNYC,,EMA
COSU,ESALG,USNYC,,MENA
COSU,CNHAK,AUSYD,CNXCT;HKHKG,;CVX1;A3S
COSU,CNHAK,AUSYD,CNXCT;HKHKG,;CYH;A3S
COSU,CNHAK,AUSYD,CNXCT;HKHKG,;CAP;A3S
COSU,CNNGB,AUTSV,,CAP
COSU,CNNGB,AUTSV,HKHKG,FCE;CAP
COSU,ILASH,USNYC,GRPIR,LGX1;EMA
MAEU,INNSA,AUSYD,SGSIN,;
MAEU,TRKFZ,USEWR,,
MSCU,BEANR,ZAZBA,,
MSCU,USMSY,BRSSZ,,
MSCU,VNHPH,KEMBA,SGSIN;LKCMB,;;
COSU,SGSIN,AUFRE,,ASAX
COSU,SGSIN,AUFRE,,AAA2
COSU,CNNGB,BEANR,FRFOS,AEM1
COSU,CNNGB,BEANR,,
COSU,CNNGB,BEANR,FRFOS,
COSU,CNNGB,BEANR,GRPIR;FRFOS,AEU3;AEM1
COSU,CNNGB,BEANR,,AEU6
COSU,CNNGB,BEANR,GRPIR;FRFOS,;AEM1
COSU,CNNGB,BEANR,BEZEE,AEU1
COSU,CNNGB,BEANR,,AEU3
COSU,ILHFA,AUSYD,GRPIR;SGSIN,NET2;AEM1;AAA1
COSU,ILHFA,AUSYD,GRPIR;SGSIN,NET2;AEM1;AAA2
COSU,ILHFA,AUSYD,GRPIR;SGSIN,NET2;AEM1;ASAL
MAEU,THLCH,AUSYD,MYTPP,;
MAEU,TWKEL,MXZLO,CNXMN;KRPUS,;;;
MSCU,CNNSA,DEHAM,,
MSCU,MYPEN,AUSYD,SGSIN,;
MSCU,USOAK,DEHAM,PAROD;NLRTM,;;
MSCU,VNUIH,USLGB,CNYTN,;JAGUAR
COSU,THBKK,AUFRE,SGSIN,BKX3;ASAX
COSU,THBKK,AUFRE,SGSIN,AAA1;ASAX
COSU,THBKK,AUFRE,SGSIN,TCX;ASAX
COSU,THBKK,AUFRE,SGSIN,MTS;ASAX
COSU,THBKK,AUFRE,SGSIN,TCX;AAA2
COSU,THBKK,AUFRE,SGSIN,VTS;ASAX
COSU,CNNGB,GBSOU,GBFXT,AEU5
COSU,CNNGB,GBSOU,,AEU6
COSU,CNNGB,GBSOU,GBFXT,AEU1
COSU,ILHFA,ITGOA,,MFS
MAEU,CNSHA,LTKLJ,DEBRV,;
MAEU,TWKEL,SIKOP,SGSIN,;
MSCU,CNXMN,FRLEH,,
MSCU,USORF,QAHMD,INMUN,;
MSCU,VNVUT,DKAAR,MYTPP,;
